Severus Snape,Voldemort,
Sirius Black,Lily Evans Potter,
Sirius Black,Original Character(s),
Sirius Black,Severus Snape,
Sirius,Remus,
Snupin,
SSHG,
Teddy Lupin,James Sirius Potter,
Theodore Nott,Blaise Zabini,
Theodore Nott,Pansy Parkinson,
Tina Goldstein,Newt Scamander,
2197,Marlene McKinnon,Dorcas Meadowes
2622,Harry Potter,Ron Weasley
2669,Astoria Greengrass,Draco Malfoy
2834,Harry Potter,Voldemort
2952,Luna Lovegood,Ginny Weasley
3278,Remus Lupin,Severus Snape
3329,Remus Lupin,Nymphadora Tonks
3472,Albus Dumbledore,Gellert Grindelwald
3938,Scorpius Malfoy,Albus Severus Potter
4227,Lucius Malfoy,Narcissa Black Malfoy
5290,Hermione Granger,Harry Potter
5807,Harry Potter,Tom Riddle
6045,Hermione Granger,Severus Snape
9073,Harry Potter,Tom Riddle | Voldemort
13345,Harry Potter,Ginny Weasley
13837,Harry Potter,Severus Snape
16313,Hermione Granger,Ron Weasley
17794,James Potter,Lily Evans Potter
17876,Hermione Granger,Draco Malfoy
28731,Sirius Black,Remus Lupin
53785,Draco Malfoy,Harry Potter
